full_id,osm_id,osm_type,highway,lane_marki,junction,embankment,sidewalk_r,sidewalk_l,tunnel,turn_lanes,cycleway_b,source_nam,old_ref,local_ref,cycleway_r,cycleway_l,maxheight,maxspeed_t,old_name,motorroad,maxweight,motorcycle,motorcar,bicycle,alt_name,sidewalk,lanes,cycleway_1,foot,bridge,surface,name_zh,name_en,name,lit,ref_zh,ref_en,ref,oneway,maxspeed,layer,xcoord,ycoord
w24729835,"24729835",way,primary,,,,,,,,,,,,,,,,,,,,,,,,,shared_lane,,,asphalt,,,,yes,???1???,Provincial Highway 1,"1",yes,,,120.340580000000003,23.166500500000001
w24729835,"24729835",way,primary,,,,,,,,,,,,,,,,,,,,,,,,,shared_lane,,,asphalt,,,,yes,???1???,Provincial Highway 1,"1",yes,,,120.340533800000003,23.166662599999999
w24729835,"24729835",way,primary,,,,,,,,,,,,,,,,,,,,,,,,,shared_lane,,,asphalt,,,,yes,???1???,Provincial Highway 1,"1",yes,,,120.340458900000002,23.166859400000000
w24729835,"24729835",way,primary,,,,,,,,,,,,,,,,,,,,,,,,,shared_lane,,,asphalt,,,,yes,???1???,Provincial Highway 1,"1",yes,,,120.340160499999996,23.167482300000000
w24729835,"24729835",way,primary,,,,,,,,,,,,,,,,,,,,,,,,,shared_lane,,,asphalt,,,,yes,???1???,Provincial Highway 1,"1",yes,,,120.339742200000003,23.168293700000000
w24729835,"24729835",way,primary,,,,,,,,,,,,,,,,,,,,,,,,,shared_lane,,,asphalt,,,,yes,???1???,Provincial Highway 1,"1",yes,,,120.339540400000004,23.168681800000002
w24729835,"24729835",way,primary,,,,,,,,,,,,,,,,,,,,,,,,,shared_lane,,,asphalt,,,,yes,???1???,Provincial Highway 1,"1",yes,,,120.339115800000002,23.169498099999998
w24729835,"24729835",way,primary,,,,,,,,,,,,,,,,,,,,,,,,,shared_lane,,,asphalt,,,,yes,???1???,Provincial Highway 1,"1",yes,,,120.338657999999995,23.170396300000000
w24729835,"24729835",way,primary,,,,,,,,,,,,,,,,,,,,,,,,,shared_lane,,,asphalt,,,,yes,???1???,Provincial Highway 1,"1",yes,,,120.338485100000000,23.170797199999999
w24729835,"24729835",way,primary,,,,,,,,,,,,,,,,,,,,,,,,,shared_lane,,,asphalt,,,,yes,???1???,Provincial Highway 1,"1",yes,,,120.338392900000002,23.171061900000002
w24729835,"24729835",way,primary,,,,,,,,,,,,,,,,,,,,,,,,,shared_lane,,,asphalt,,,,yes,???1???,Provincial Highway 1,"1",yes,,,120.338319999999996,23.171332400000001
