id,農業,森林,交通,水利,商業,純住宅,混合住宅,製造業,倉儲,宗教,殯葬,其他建築用地,學校,醫療,其他公共利用土地,遊憩,礦業,其他
186,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
