Unnamed: 0,匯入時間,統計時間,銀行代號,分支機構代號,金融機構名稱,分支機構名稱,地址,lat,lng
2504,20211201,202110,62,33,國際票券金融股份有限公司,台南分公司,台南市中西區成功路457號,23.001056100000003,120.1963449
2518,20211201,202110,81,50,匯豐（台灣）商業銀行,台南分行,台南市東區崇明路269號,22.9764912,120.2211883
2606,20211201,202110,102,348,華泰商業銀行,台南分行,台南市安定區中崙150號,23.080177,120.20918799999998
2651,20211201,202110,103,417,臺灣新光商業銀行,東台南分行,台南市東區中華東路一段12號,22.9977347,120.2342986
2663,20211201,202110,103,541,臺灣新光商業銀行,新營分行,台南市新營區中山路138號,23.304777,120.317213
2672,20211201,202110,103,657,臺灣新光商業銀行,台南分行,台南市中西區民生路2段307號,22.9969408,120.1907459
2709,20211201,202110,103,1049,臺灣新光商業銀行,永康分行,台南市永康區中正南路659號,23.0377448,120.2325435
2777,20211201,202110,108,528,陽信商業銀行,台南分行,台南市中西區忠義路二段148號,22.9957003,120.203982
2778,20211201,202110,108,555,陽信商業銀行,東寧分行,台南市東區東寧路247號,22.9905925,120.2268976
2779,20211201,202110,108,564,陽信商業銀行,中華分行,台南市東區中華東路三段102號,22.9792044,120.2274417
2780,20211201,202110,108,573,陽信商業銀行,健康分行,台南市南區健康路二段370號,22.982195,120.1873388
2782,20211201,202110,108,607,陽信商業銀行,西華分行,台南市安平區中華西路二段359號,22.993728,120.186396
2783,20211201,202110,108,616,陽信商業銀行,安順分行,台南市安南區安和路一段202號,23.0305133,120.2133278
2812,20211201,202110,108,935,陽信商業銀行,仁德分行,台南市仁德區中正路二段273號,22.95062,120.251398
2814,20211201,202110,108,953,陽信商業銀行,永康分行,台南市永康區中華路625號,23.014707,120.2297215
2893,20211201,202110,118,437,板信商業銀行,台南分行,台南市東區崇明路189號,22.9783929,120.2194941
2901,20211201,202110,118,622,板信商業銀行,成功分行,台南市中西區成功路457號,23.001056100000003,120.1963449
3060,20211201,202110,147,299,三信商業銀行,台南分行,台南市南區大同路2段438號,22.9738377,120.2142627
3135,20211201,202110,188,10,台南第三信用合作社,營業部,台南市中西區中正路7號,22.991937600000004,120.203545
3136,20211201,202110,188,29,台南第三信用合作社,東門分社,台南市東區東門路一段251號,22.9873365,120.2177472
3137,20211201,202110,188,38,台南第三信用合作社,西門分社,台南市中西區西門路二段68號,22.9919936,120.1985081
3138,20211201,202110,188,47,台南第三信用合作社,安平分社,台南市安平區古堡街62號,23.0024221,120.161301
3139,20211201,202110,188,56,台南第三信用合作社,成功分社,台南市北區成功路192號,22.9989993,120.2038175
3140,20211201,202110,188,65,台南第三信用合作社,大同分社,台南市東區大同路二段205號,22.9762122,120.2140915
3141,20211201,202110,188,74,台南第三信用合作社,文賢分社,台南市北區文賢路335號,23.0071718,120.1934909
3142,20211201,202110,188,83,台南第三信用合作社,金華分社,台南市南區金華路二段73號,22.97907480000001,120.1910787
3143,20211201,202110,188,92,台南第三信用合作社,小東分社,台南市北區小東路373號,22.9989054,120.2319979
3144,20211201,202110,188,108,台南第三信用合作社,開元分社,台南市北區開元路335號,23.0084325,120.2218688
3145,20211201,202110,188,117,台南第三信用合作社,中華分社,台南市東區中華東路三段139號,22.9780647,120.2269562
3146,20211201,202110,188,126,台南第三信用合作社,大灣分社,台南市永康區民族路275號,23.0052286,120.2694047
3147,20211201,202110,188,135,台南第三信用合作社,安中分社,台南市安南區安中路一段755號,23.0435167,120.1943512
3180,20211201,202110,215,114,花蓮第一信用合作社,永康分社,台南市永康區中山南路583及583之1號,23.0245971,120.253602
3268,20211201,202110,517,16,南市區漁會,南市區漁會,台南市中西區環河街56號,22.9929284,120.1921259
3269,20211201,202110,517,27,南市區漁會,四草分部,台南市安南區四草里大眾六街130號,23.019035,120.126105
