Unnamed: 0,匯入時間,統計時間,商家名稱,縣市,門市,地址,lat,lng
4899,20211201,202110,7_11,台南市,南醫,台南市中西區民族路二段76號之13,22.995204,120.207674
4900,20211201,202110,7_11,台南市,郡王,台南市中西區府前路一段144號,22.989128,120.207501
4901,20211201,202110,7_11,台南市,唯勝,台南市中西區民權路三段150號一樓,22.997338,120.19616
4902,20211201,202110,7_11,台南市,康樂,台南市中西區安海里康樂街223號1樓,22.994765,120.194867
4903,20211201,202110,7_11,台南市,荻亞,台南市中西區朝陽里中山路153號1樓,22.996335,120.21036200000002
4904,20211201,202110,7_11,台南市,頂美,台南市中西區西和路1號3號,22.999144,120.186982
4905,20211201,202110,7_11,台南市,晶越,台南市中西區西門路一段658號B2,22.9869497417472,120.197756518071
4906,20211201,202110,7_11,台南市,湖華,台南市中西區西湖街3號,23.003336,120.186596
4907,20211201,202110,7_11,台南市,開山,台南市中西區開山路245號,22.986172,120.210041
4908,20211201,202110,7_11,台南市,集福,台南市中西區金華路四段194號與信義街60巷6號,23.000428,120.195787
4909,20211201,202110,7_11,台南市,新永健,台南市中西區健康路一段346號,22.98151,120.200073
4910,20211201,202110,7_11,台南市,新永華,台南市中西區永華路248號,22.988605,120.190446
4911,20211201,202110,7_11,台南市,新運河,台南市中西區府前路二段239號1樓,22.991794758460102,120.190572513341
4912,20211201,202110,7_11,台南市,綜合,台南市中西區水仙里民生路二段26號28號1樓,22.994983,120.198412
4913,20211201,202110,7_11,台南市,鎮山,台南市中西區西湖里湖美街10號,22.999237,120.180201
4914,20211201,202110,7_11,台南市,體育,台南市中西區健康路166號,22.981394,120.207333
4915,20211201,202110,7_11,台南市,新朝琴,台南市鹽水區岸內里朝琴路143號1樓,23.324645,120.273665
4916,20211201,202110,7_11,台南市,歡雅,台南市鹽水區歡雅里26號,23.292312,120.241721
4917,20211201,202110,7_11,台南市,鹽水,台南市鹽水區中正路35號,23.31995,120.267767
4918,20211201,202110,7_11,台南市,鹽生,台南市鹽水區南門路1號,23.316589,120.266878
4919,20211201,202110,7_11,台南市,鹽金,台南市鹽水區義稠里8鄰義稠110之19號,23.325105,120.254631
4920,20211201,202110,7_11,台南市,鹽新,台南市鹽水區橋南里忠孝路93號,23.310792000000006,120.273583
4921,20211201,202110,7_11,台南市,九份子,台南市安南區國安里九份子大道6號1樓,23.021761,120.185192
4922,20211201,202110,7_11,台南市,上鈺,台南市南區大成路一段128號1、2樓,22.975158,120.200187
4923,20211201,202110,7_11,台南市,土定富,台南市南區田寮里大成路二段86號88號,22.975039,120.194952
4924,20211201,202110,7_11,台南市,大忠,台南市南區大忠里中華南路一段178號,22.9699126826656,120.210936527079
4925,20211201,202110,7_11,台南市,大恩,台南市南區大同路二段692.694號及國民路2號,22.967612,120.21566
4926,20211201,202110,7_11,台南市,公道,台南市南區夏林路1-16號、1-17號,22.986296,120.195099
4927,20211201,202110,7_11,台南市,少觀,台南市南區大林路113號,22.97539,120.211242
4928,20211201,202110,7_11,台南市,文南,台南市南區健康路二段268-1、270號,22.981897,120.189824
4929,20211201,202110,7_11,台南市,水交社,台南市南區西門路一段292、296號,22.977519,120.198
4930,20211201,202110,7_11,台南市,加吉吉,台南市安南區新順里培安路155號,23.043993,120.211412
4931,20211201,202110,7_11,台南市,台江,台南市安南區安中路二段140號1樓,23.046441,120.18773799999998
4932,20211201,202110,7_11,台南市,本安,台南市安南區淵東里安中路三段360號1樓,23.049005,120.175709
4933,20211201,202110,7_11,台南市,本原,台南市安南區海佃路四段2號,23.053506,120.178326
4934,20211201,202110,7_11,台南市,本興,台南市安南區公學路四段180號,23.067121,120.176056
4935,20211201,202110,7_11,台南市,正旺,台南市南區明興路917號,22.933316,120.182416
4936,20211201,202110,7_11,台南市,永成,台南市南區佛壇里明興路1322號1樓,22.923219,120.184632
4937,20211201,202110,7_11,台南市,立興,台南市南區灣裡路265號,22.926657,120.182291
4938,20211201,202110,7_11,台南市,全興,台南市南區新樂路72號,22.968595,120.174241
4939,20211201,202110,7_11,台南市,安中,台南市安南區安中路一段711號,23.043119937560306,120.195307514039
4940,20211201,202110,7_11,台南市,安北,台南市安南區安中路一段546號552號,23.039703,120.201594
4941,20211201,202110,7_11,台南市,安立,台南市安南區安中路四段150號,23.04946,120.170631
4942,20211201,202110,7_11,台南市,安同,台南市安南區同安路235號,23.042362,120.192011
4943,20211201,202110,7_11,台南市,安安,台南市安南區安明路四段260-70號,23.061055,120.134192
4944,20211201,202110,7_11,台南市,安西,台南市安南區安中路一段136號,23.035529,120.208671
4945,20211201,202110,7_11,台南市,安佃,台南市安南區海佃路四段548號,23.064668,120.172136
4946,20211201,202110,7_11,台南市,安昌,台南市安南區塭南里安昌街101號,23.069697030824,120.218748527665
4947,20211201,202110,7_11,台南市,安東,台南市安南區安和路一段308號1樓,23.03243,120.212608
4948,20211201,202110,7_11,台南市,安南,台南市安南區安和路四段520號,23.061455,120.218802
4949,20211201,202110,7_11,台南市,安傑,台南市安南區頂安里北安路二段480號1樓,23.0362379137638,120.203361519424
4950,20211201,202110,7_11,台南市,安富,台南市安南區安富街343號,23.026012,120.193576
4951,20211201,202110,7_11,台南市,安新,台南市安南區長溪路三段399號1樓,23.068138,120.196251
4952,20211201,202110,7_11,台南市,安學,台南市安南區南興里12鄰公學路五段685號一樓,23.074178,120.16017
4953,20211201,202110,7_11,台南市,安醫,台南市安南區州南里12鄰長和路二段66號B1,23.064536,120.223193
4954,20211201,202110,7_11,台南市,西濱,台南市南區中華南路二段317號319號,22.96163,120.185101
4955,20211201,202110,7_11,台南市,和順,台南市安南區安和路五段166號,23.066245,120.21808
