Unnamed: 0,匯入時間,統計時間,縣市ID,縣市名稱,鄉鎮市區ID,鄉鎮市區名稱,CODE3,用水度數
74419,20210301,201908,67000,臺南市,67000120,佳里區,A6700012014,33426.29
74420,20210301,201908,67000,臺南市,67000120,佳里區,A6700012015,23199.21
74421,20210301,201908,67000,臺南市,67000120,佳里區,A6700012016,21185.44
74422,20210301,201908,67000,臺南市,67000120,佳里區,A6700012017,23746.38
74423,20210301,201908,67000,臺南市,67000120,佳里區,A6700012018,26241.75
74424,20210301,201908,67000,臺南市,67000120,佳里區,A6700012019,24183.79
74425,20210301,201908,67000,臺南市,67000120,佳里區,A6700012020,8001.55
74426,20210301,201908,67000,臺南市,67000130,學甲區,A6700013001,
74427,20210301,201908,67000,臺南市,67000130,學甲區,A6700013002,11437.62
74428,20210301,201908,67000,臺南市,67000130,學甲區,A6700013003,11096.67
74429,20210301,201908,67000,臺南市,67000130,學甲區,A6700013004,8949.11
74430,20210301,201908,67000,臺南市,67000130,學甲區,A6700013005,56357.62
74431,20210301,201908,67000,臺南市,67000130,學甲區,A6700013006,21489.36
74432,20210301,201908,67000,臺南市,67000130,學甲區,A6700013007,20127.69
74433,20210301,201908,67000,臺南市,67000130,學甲區,A6700013008,25690.44
74434,20210301,201908,67000,臺南市,67000130,學甲區,A6700013009,21198.87
74435,20210301,201908,67000,臺南市,67000130,學甲區,A6700013010,28164.9
74436,20210301,201908,67000,臺南市,67000130,學甲區,A6700013011,19529.63
74437,20210301,201908,67000,臺南市,67000130,學甲區,A6700013012,20102.07
74438,20210301,201908,67000,臺南市,67000140,西港區,A6700014001,27065.94
74439,20210301,201908,67000,臺南市,67000140,西港區,A6700014002,15122.37
74440,20210301,201908,67000,臺南市,67000140,西港區,A6700014003,15847.24
74441,20210301,201908,67000,臺南市,67000140,西港區,A6700014004,34718.24
74442,20210301,201908,67000,臺南市,67000140,西港區,A6700014005,18707.92
74443,20210301,201908,67000,臺南市,67000140,西港區,A6700014006,17239.3
74444,20210301,201908,67000,臺南市,67000140,西港區,A6700014007,23415.11
74445,20210301,201908,67000,臺南市,67000140,西港區,A6700014008,12689.34
74446,20210301,201908,67000,臺南市,67000140,西港區,A6700014009,21530.61
74447,20210301,201908,67000,臺南市,67000140,西港區,A6700014010,936.54
74448,20210301,201908,67000,臺南市,67000140,西港區,A6700014011,7990.0
74449,20210301,201908,67000,臺南市,67000150,七股區,A6700015001,19952.34
74450,20210301,201908,67000,臺南市,67000150,七股區,A6700015002,10449.26
74451,20210301,201908,67000,臺南市,67000150,七股區,A6700015003,19304.28
74452,20210301,201908,67000,臺南市,67000150,七股區,A6700015004,19509.96
74453,20210301,201908,67000,臺南市,67000150,七股區,A6700015005,15295.97
74454,20210301,201908,67000,臺南市,67000150,七股區,A6700015006,1456.43
74455,20210301,201908,67000,臺南市,67000150,七股區,A6700015007,18513.4
74456,20210301,201908,67000,臺南市,67000150,七股區,A6700015008,19840.74
74457,20210301,201908,67000,臺南市,67000150,七股區,A6700015009,16823.58
74458,20210301,201908,67000,臺南市,67000160,將軍區,A6700016001,8736.14
74459,20210301,201908,67000,臺南市,67000160,將軍區,A6700016002,9180.08
74460,20210301,201908,67000,臺南市,67000160,將軍區,A6700016003,33.8
74461,20210301,201908,67000,臺南市,67000160,將軍區,A6700016004,18728.55
74462,20210301,201908,67000,臺南市,67000160,將軍區,A6700016005,45162.04
74463,20210301,201908,67000,臺南市,67000160,將軍區,A6700016006,32915.9
74464,20210301,201908,67000,臺南市,67000160,將軍區,A6700016007,3625.44
74465,20210301,201908,67000,臺南市,67000160,將軍區,A6700016008,6918.18
74466,20210301,201908,67000,臺南市,67000160,將軍區,A6700016009,10942.85
74467,20210301,201908,67000,臺南市,67000170,北門區,A6700017001,
74468,20210301,201908,67000,臺南市,67000170,北門區,A6700017002,10285.69
74469,20210301,201908,67000,臺南市,67000170,北門區,A6700017003,10462.45
74470,20210301,201908,67000,臺南市,67000170,北門區,A6700017004,
74471,20210301,201908,67000,臺南市,67000170,北門區,A6700017005,12221.0
74472,20210301,201908,67000,臺南市,67000170,北門區,A6700017006,24343.68
