匯入時間,統計時間,縣市,停車場名稱,停車場地址,汽車停車位數,機車停車位數,lat,lng
20211201,202110,台南,九六新村停車場,臺南市北區和緯路一段,97,0,23.009462,120.214485
20211201,202110,台南,長勝營區免費公有停車場,臺南市新營區新營區新生路與新進路二段口,92,97,23.30023,120.303052
20211201,202110,台南,佳里區進學路臨時停車場,臺南市佳里區臺南市佳里區進學路與民生路口,55,0,23.16407,120.175636
20211201,202110,台南,安通自辦重劃區公有停車場,臺南市安南區安和路1段263巷66號旁,8,0,23.031631,120.21026
20211201,202110,台南,108期總安一自辦重劃，廣停8,臺南市安南區安南區州南七街與州南十街口東北側,21,0,23.059613,120.215057
20211201,202110,台南,高鐵台南車站停二停車場,臺南市歸仁區高發一路與高發二路中間段南邊(歸仁十三路旁),85,86,22.924998,120.28949
20211201,202110,台南,高鐵台南車站停三停車場,臺南市歸仁區站后一路(歸仁三路與歸仁五路中間),69,0,22.930107,120.28585
20211201,202110,台南,高鐵台南車站停四停車場,臺南市歸仁區站后一路(歸仁五路與歸仁七路中間)北邊,32,0,22.928872,120.28643
20211201,202110,台南,高鐵台南車站停五停車場,臺南市歸仁區站后一路(歸仁五路與歸仁七路中間)南邊,34,0,22.928111,120.28682
20211201,202110,台南,高鐵台南車站停六停車場,臺南市歸仁區武當路(歸仁六路與歸仁八路中間),40,0,22.928378,120.28253
20211201,202110,台南,高鐵台南車站停七停車場,臺南市歸仁區武當路(歸仁八路與歸仁十路中間)北邊,34,0,22.92739,120.28297
20211201,202110,台南,高鐵台南車站停八停車場,臺南市歸仁區武當路(歸仁八路與歸仁十路中間)南邊,34,0,22.9265,120.28337
20211201,202110,台南,高鐵台南車站停九停車場,臺南市歸仁區高鐵八路與高鐵六路口,79,84,22.924336,120.28008
20211201,202110,台南,楠西區都市計畫停二立體停車場,臺南市楠西區民生路12號,12,30,23.176651,120.48599
20211201,202110,台南,南化區玉山停車場,臺南市南化區南化水庫下方「源之旅公園」,226,0,23.092397,120.53399
