Unnamed: 0,匯入時間,統計時間,工廠名稱,地址,中行業別,細行業別,耗用原料,主要產品,lat,lng
55374,20211201,202110,典億電機有限公司,臺南市安南區安東里安和路一段４９６巷５３號４樓,電力設備業,其他家用電器製造業,,美容儀器、美髮儀器,23.035015602820703,120.215290743978
55375,20211201,202110,立昌工作所,臺南市安南區安慶里安中路一段２０３巷３０弄１２號,金屬製品業,未分類其他金屬製品製造業,,金屬零件,23.0352935282053,120.206524289811
55376,20211201,202110,東陽實業廠股份有限公司四廠,臺南市安南區新順里政安路５７巷８號,汽車及零件業,汽車零件製造業,,保險桿、前欄、儀表板等,23.043000736579,120.218920198985
55377,20211201,202110,駿銡實業社,臺南市安南區新順里永安二街６１號,塑膠製品業,其他塑膠製品製造業,,方向燈殼、方向燈座、後燈殼、後燈座,23.043640577797,120.21882235025
55378,20211201,202110,生泰工業股份有限公司,臺南市安南區安東里安和路二段５４巷２２３號,基本金屬業,鋁材軋延、擠型及伸線業,,鋁（錠、板、合金），鋁質建築材,23.035937801709103,120.216885140983
55379,20211201,202110,大景有限公司,臺南市安南區新順里永安二街５５號,塑膠製品業,塑膠皮、板及管材製造業,,塑膠製品,23.044013000554106,120.218753558982
55380,20211201,202110,宗益工作所,臺南市安南區安慶里安中路一段２０３巷３０弄１３號,機械設備業,其他通用機械設備製造業,,機械零件加工,23.035082729244102,120.206498985642
55381,20211201,202110,源銘宏企業有限公司,臺南市安南區新順里永安二街５３號,汽車及零件業,汽車零件製造業,,汽車輪圈,23.0443574167623,120.218682099181
55382,20211201,202110,環統混凝土股份有限公司,臺南市安南區安東里安和路二段５４巷１１５號,非金屬礦物製品業,預拌混凝土製造業,,預拌混凝土,23.0372108646366,120.218181021876
55383,20211201,202110,東陽實業廠股份有限公司二廠,臺南市安南區新順里政安路１２６號,汽車及零件業,汽車零件製造業,,塑膠製汽機車零件,23.0408819589555,120.219441645644
55384,20211201,202110,敦陽化工股份有限公司,臺南市安南區新順里政安路８０號,化學製品業,塗料、染料及顏料製造業,,塗料,23.0408870373381,120.21944600714
55385,20211201,202110,唐維企業股份有限公司,臺南市安南區新順里安和路二段３１８巷１２５弄５９號,汽車及零件業,汽車零件製造業,鐵板、螺栓、鐵線、螺絲等,汽機車零件（前欄主體、輪胎蓋、螺絲，小鋼珠）其他機械及零件,23.0436784587603,120.219050846131
