Unnamed: 0,匯入時間,統計時間,縣市,站點UID,業管機關代碼,站點名稱,lat,lng
87481,20211201,202110,台南市,TNN10360,8,稅務局安南分局,23.04782,120.18111
87482,20211201,202110,台南市,TNN10361,8,安南國中,23.04843,120.17791
87483,20211201,202110,台南市,TNN10362,8,南鹽行,23.03785,120.23301
87484,20211201,202110,台南市,TNN10363,8,洲仔尾,23.03611,120.23111000000002
87485,20211201,202110,台南市,TNN10364,8,愛買量販,23.03418,120.22917
87486,20211201,202110,台南市,TNN10365,8,大崎(家樂福中正店),23.03198,120.22697
87487,20211201,202110,台南市,TNN10366,8,南大崎,23.02908,120.22395
87488,20211201,202110,台南市,TNN10367,8,尚頂里,23.02762,120.22237
87489,20211201,202110,台南市,TNN10368,8,中正南路,23.02613,120.22077
87490,20211201,202110,台南市,TNN10370,8,奇美醫院,23.02096,120.22168
87491,20211201,202110,台南市,TNN10371,8,大橋,23.01772,120.22735
87492,20211201,202110,台南市,TNN10372,8,臺南高工,23.01375,120.23048
87493,20211201,202110,台南市,TNN10373,8,南工宿舍,23.01317,120.22947
87494,20211201,202110,台南市,TNN10374,8,崑山中學,23.01095,120.22572
87495,20211201,202110,台南市,TNN10375,8,開元,23.00892,120.22287
87496,20211201,202110,台南市,TNN10376,8,富台新村,23.00808,120.22133
87497,20211201,202110,台南市,TNN10377,8,中樓,23.00699,120.21908
87498,20211201,202110,台南市,TNN10378,8,勝利北路,23.00445,120.21893
87499,20211201,202110,台南市,TNN10379,8,成大醫院(勝利路),23.00263,120.21875
87500,20211201,202110,台南市,TNN10381,8,小東路,23.00142,120.21595
87501,20211201,202110,台南市,TNN10382,8,臺南公園(北門路),23.00113,120.21293
87502,20211201,202110,台南市,TNN10383,8,臺南火車站(北站),22.99751,120.21124
87503,20211201,202110,台南市,TNN10384,8,南區健保局,22.99708,120.20641
87504,20211201,202110,台南市,TNN10385,8,民族路,22.99603,120.20501000000002
87505,20211201,202110,台南市,TNN10386,8,赤崁樓,22.99677,120.20261
87506,20211201,202110,台南市,TNN10387,8,西門、民權路口,22.99583,120.19951
87507,20211201,202110,台南市,TNN10388,8,西門、友愛街口,22.99224,120.19834
87508,20211201,202110,台南市,TNN10389,8,小西門(大億麗緻),22.98853,120.19753
87509,20211201,202110,台南市,TNN10390,8,新光三越新天地,22.98661,120.19748
87510,20211201,202110,台南市,TNN10391,8,西門路一段,22.98445,120.19752
87511,20211201,202110,台南市,TNN10392,8,台南站,22.98237,120.19759
