Unnamed: 0,匯入時間,統計時間,縣市ID,縣市名稱,鄉鎮市區ID,鄉鎮市區名稱,CODE3,用電戶數,用電度數,電費總額
8270,20210301,201901,67000,臺南市,67000180,新化區,A6700018004,2057.0,744900.0,1489500.0
8271,20210301,201901,67000,臺南市,67000180,新化區,A6700018005,1627.0,554600.0,894200.0
8272,20210301,201901,67000,臺南市,67000180,新化區,A6700018006,1536.0,471700.0,771100.0
8273,20210301,201901,67000,臺南市,67000180,新化區,A6700018007,2075.0,737900.0000000001,1327800.0
8274,20210301,201901,67000,臺南市,67000180,新化區,A6700018008,3602.0,567600.0,1088400.0
8275,20210301,201901,67000,臺南市,67000180,新化區,A6700018009,1956.0,831100.0,1823000.0
8276,20210301,201901,67000,臺南市,67000180,新化區,A6700018010,2324.0,770400.0000000001,1792900.0
8277,20210301,201901,67000,臺南市,67000180,新化區,A6700018011,2170.0,739200.0,1121700.0
8278,20210301,201901,67000,臺南市,67000180,新化區,A6700018012,2055.0,735200.0,1401100.0000000002
8279,20210301,201901,67000,臺南市,67000180,新化區,A6700018013,1738.0,593800.0,1158600.0
8280,20210301,201901,67000,臺南市,67000180,新化區,A6700018014,1985.0,571200.0,905100.0
8281,20210301,201901,67000,臺南市,67000180,新化區,A6700018015,1750.0,531400.0,1110700.0
8282,20210301,201901,67000,臺南市,67000190,善化區,A6700019001,4170.0,460000.0,784400.0
8283,20210301,201901,67000,臺南市,67000190,善化區,A6700019002,54.0,2800.0000000000005,3200.0
8284,20210301,201901,67000,臺南市,67000190,善化區,A6700019003,3545.0,545300.0,777099.9999999999
8285,20210301,201901,67000,臺南市,67000190,善化區,A6700019004,2031.0,459900.0,598400.0
8286,20210301,201901,67000,臺南市,67000190,善化區,A6700019005,3359.0,931800.0,1904600.0
8287,20210301,201901,67000,臺南市,67000190,善化區,A6700019006,4600.0,601500.0,962000.0
8288,20210301,201901,67000,臺南市,67000190,善化區,A6700019007,1821.0,460100.0,838000.0
8289,20210301,201901,67000,臺南市,67000190,善化區,A6700019008,2206.0,863000.0,1976800.0
8290,20210301,201901,67000,臺南市,67000190,善化區,A6700019009,1988.0,582200.0,1256100.0
8291,20210301,201901,67000,臺南市,67000190,善化區,A6700019010,2878.0,1037800.0,2462900.0
8292,20210301,201901,67000,臺南市,67000190,善化區,A6700019011,2744.0,891100.0,1533200.0
8293,20210301,201901,67000,臺南市,67000190,善化區,A6700019012,2317.0,859900.0,2346700.0
8294,20210301,201901,67000,臺南市,67000190,善化區,A6700019013,2307.0,886700.0,2067700.0
8295,20210301,201901,67000,臺南市,67000190,善化區,A6700019014,3057.0,904200.0,2159400.0
8296,20210301,201901,67000,臺南市,67000190,善化區,A6700019015,5843.0,1615100.0,2336000.0
8297,20210301,201901,67000,臺南市,67000200,新市區,A6700020001,2294.0,680300.0,1306699.9999999998
8298,20210301,201901,67000,臺南市,67000200,新市區,A6700020002,4152.0,552000.0,975800.0
8299,20210301,201901,67000,臺南市,67000200,新市區,A6700020003,2632.0,581500.0,1224200.0
8300,20210301,201901,67000,臺南市,67000200,新市區,A6700020004,2311.0,3319500.0,11985900.0
8301,20210301,201901,67000,臺南市,67000200,新市區,A6700020005,1920.0,492500.0,930500.0
8302,20210301,201901,67000,臺南市,67000200,新市區,A6700020006,2001.0,810400.0000000001,1704199.9999999998
8303,20210301,201901,67000,臺南市,67000200,新市區,A6700020007,2441.0,1012300.0,2112000.0
